,Date,Open,High,Low,Close,Adj Close,Volume,Percentage,Daily Returns %,Moving AGV 7 Day,Moving AGV 30 Day,Year
1817,2017-09-15,74.902,76.0,74.540001,75.961998,75.961998,27102500,1.3954319632298156,0.574618684461381,72.68942914285715,71.14153373333333,2017
1818,2017-09-18,76.050003,77.921997,75.536003,77.0,77.0,35940000,1.2337623376623328,1.3664753789125017,73.67200028571428,71.32880026666666,2017
1819,2017-09-19,76.0,76.477997,74.713997,75.019997,75.019997,32259500,-1.3063223662885461,-2.571432467532464,74.57771414285715,71.46166693333333,2017
1820,2017-09-20,74.599998,75.650002,74.213997,74.781998,74.781998,24595500,0.2433740804839183,-0.3172474133796621,74.869714,71.51960023333332,2017
1821,2017-09-21,74.980003,75.365997,72.902,73.295998,73.295998,23091000,-2.2975401740215053,-1.9871092505445054,74.97628471428571,71.5392668,2017
1822,2017-09-22,73.297997,73.980003,70.176003,70.218002,70.218002,40797000,-4.386332439365046,-4.19940526630117,74.54371328571429,71.51053346666666,2017
1823,2017-09-25,70.629997,71.494003,68.575996,68.998001,68.998001,38029500,-2.3652801187675,-1.7374476135051498,73.61085628571428,71.42466693333333,2017
1824,2017-09-26,70.185997,70.248001,68.18,69.050003,69.050003,35781500,-1.645175887972078,0.07536740086135918,72.62342842857143,71.3010003,2017
1825,2017-09-27,69.980003,70.297997,68.099998,68.194,68.194,30301500,-2.6190031381059824,-1.2396856811143109,71.36542842857143,71.1586002,2017
1826,2017-09-28,67.975998,68.550003,67.080002,67.919998,67.919998,26598000,-0.08244994353503571,-0.40179781212422716,70.35114285714286,71.0032001,2017
1827,2017-09-29,68.372002,68.935997,67.720001,68.220001,68.220001,25535500,-0.22281002311917075,0.44170054304182305,69.41371471428572,70.9310667,2017
1828,2017-10-02,68.503998,68.739998,67.101997,68.306,68.306,26434000,-0.28986911837905655,0.12606127050629468,68.70085785714285,70.89153346666667,2017
1829,2017-10-03,67.18,69.709999,66.255997,69.627998,69.627998,50768000,3.515824194744186,1.9354053816648786,68.61657157142858,70.96006676666667,2017
1830,2017-10-04,70.25,71.723999,69.919998,71.001999,71.001999,40817500,1.059123701573526,1.9733455498749164,68.902857,71.0511335,2017
1831,2017-10-05,71.199997,71.487999,70.269997,71.066002,71.066002,20858500,-0.1885500749007926,0.09014253246588666,69.19085685714285,71.0682002,2017
1832,2017-10-06,70.620003,72.019997,70.449997,71.375999,71.375999,21487500,1.059173966868045,0.4362099896938032,69.64542814285714,71.09453353333333,2017
1833,2017-10-09,69.93,70.349998,68.533997,68.587997,68.587997,37468500,-1.9566149453234587,-3.9060777278928094,69.74085657142857,71.06046673333334,2017
1834,2017-10-10,69.360001,71.125999,69.106003,71.117996,71.117996,34892500,2.471941138498908,3.688690602817868,70.15485585714286,71.12666646666666,2017
1835,2017-10-11,70.778,71.519997,70.230003,70.919998,70.919998,22504000,0.20022279188445682,-0.2784077324113565,70.52828414285715,71.17493306666667,2017
1836,2017-10-12,70.589996,71.956001,70.528,71.136002,71.136002,20435000,0.7675522726171841,0.30457417666593933,70.74371328571429,71.19159973333333,2017
1837,2017-10-13,71.396004,71.697998,70.736,71.113998,71.113998,17702500,-0.39655483861279994,-0.03093229782580309,70.75971314285714,71.18939966666667,2017
1838,2017-10-16,70.751999,70.896004,69.431999,70.120003,70.120003,26877500,-0.9013062934409757,-1.3977487245197429,70.62457042857143,71.1573997,2017
1839,2017-10-17,70.181999,71.244003,70.014,71.150002,71.150002,16466500,1.3605101514965465,1.468908950274872,70.59228514285714,71.19846646666666,2017
1840,2017-10-18,71.194,72.599998,70.825996,71.93,71.93,24695500,1.0232170165438679,1.0962726325713934,71.06971414285714,71.29926653333334,2017
1841,2017-10-19,71.112,71.43,69.639999,70.362,70.362,25309000,-1.0659162616184874,-2.179897122202157,70.96171471428572,71.30726646666668,2017
1842,2017-10-20,70.538002,70.910004,68.867996,69.019997,69.019997,24652000,-2.199369843496229,-1.907283761121048,70.690286,71.31859970000001,2017
1843,2017-10-23,69.975998,69.989998,67.25,67.403999,67.403999,28736500,-3.8157958550797635,-2.3413475372941583,70.15714271428571,71.14079970000002,2017
